"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ontologyall","go","entrez","ensemblprot","symbol","path"
"ENSMUSG00000075284",12.5534730425341,-0.848405948479839,0.596197142740534,-1.42302920906326,0.154727688028043,0.287973622874135,"BP","Wipf1","215280",NA,"GO:0003779",NA
"ENSMUSG00000005371",7.44079896656485,-0.99635565355341,0.70064236011464,-1.4220602553782,0.155008759432075,0.288253418475871,"BP","Fbxo11","225055",NA,"GO:0000151",NA
"ENSMUSG00000024869",15.4485899242941,0.788378751614071,0.554383115813406,1.42208290463056,0.155002184976968,0.288253418475871,"BP","Nudt8","66387","ENSMUSP00000025802","GO:0004787",NA
"ENSMUSG00000038365",5.39091316691651,-1.06268284830532,0.747257604951064,-1.42211044928062,0.154994189807886,0.288253418475871,"BP","Fbxo25","66822","ENSMUSP00000147467","GO:0003779",NA
"ENSMUSG00000086694",3.5978221730945,-1.08194872719028,0.760770397919217,-1.42217511373934,0.154975421394303,0.288253418475871,NA,NA,NA,NA,NA,NA
"ENSMUSG00000008604",28.401318873524,-0.649570179487384,0.456992968844547,-1.42140081745622,0.15520026897609,0.288515038911334,"BP","Ubqln4","94232",NA,"GO:0005634","04141"
"ENSMUSG00000066149",38.0438232238693,0.548502113105093,0.385891188271598,1.42139061418279,0.155203233553068,0.288515038911334,"BP","Cdc26","66440",NA,"GO:0003674","04110"
"ENSMUSG00000004931",30.4756926581,0.620274425313238,0.436436177672031,1.42122595936434,0.155251080212335,0.288553982764714,"BP","Apba3","57267",NA,"GO:0001540",NA
"ENSMUSG00000049751",40.3632253683453,0.545859822640606,0.384135691409586,1.42100782314076,0.155314485152978,0.288621825172553,"BP","Rpl36al","66483","ENSMUSP00000106250","GO:0003674","03010"
"ENSMUSG00000097006",14.1302059555496,0.823417129396693,0.579629539537272,1.42059207343718,0.155435384192507,0.288796467200765,"BP","9530082P21Rik","638247",NA,"GO:0003674",NA
"ENSMUSG00000100826",3.58957276680764,1.0854693621738,0.764339269204311,1.42014077505633,0.155566701552066,0.288990402467629,"BP","Ipw","16353",NA,"GO:0003674",NA
"ENSMUSG00000071454",5.36589740818955,1.07577298683778,0.757695297593241,1.41979630895808,0.155666989848172,0.289076591153054,"CC","Dtnb","13528",NA,"GO:0005515",NA
"ENSMUSG00000090117",7.61002086710265,-0.995315528278376,0.701026941112875,-1.41979640140266,0.155666962927159,0.289076591153054,NA,NA,NA,NA,NA,NA
"ENSMUSG00000090440",22.7590226406893,0.698331100821154,0.492094680159735,1.41909906564012,0.155870136317461,0.289403742196907,NA,NA,NA,NA,NA,NA
"ENSMUSG00000103009",3.25589670211762,-1.08243409126446,0.762853969912032,-1.4189269951486,0.155920301132518,0.289446788466803,NA,NA,NA,NA,NA,NA
"ENSMUSG00000031840",11.5251390111601,0.867840994137513,0.611958973333121,1.41813590772384,0.156151089566444,0.289825067278341,"BP","Rab3a","19339",NA,"GO:0000166",NA
"ENSMUSG00000037982",4.21094799438271,-1.07974128539675,0.761452971252911,-1.41800127671722,0.156190392027291,0.289847868131599,NA,NA,NA,NA,NA,NA
