gene	spt7.del	wt
ALD5	10.7257496757948	12.4622440776321
RPS24A	15.7251638573594	15.8503138298593
YOS1	12.1748539203657	11.6930251514868
PTP3	10.3142886710457	10.9897563700847
YER076C	8.79805699702758	8.56622532424755
YER077C	8.76874011854571	8.87013349992735
ICP55	10.1373370099192	10.3147305083365
YER079W	9.74994315208891	9.28664785504237
AIM9	11.6299212008351	11.4650561678312
SER3	13.8726364078899	10.3644411130572
UTP7	11.6234700164049	11.8042843195584
GET2	12.4532834967835	12.5236183102314
YER084W	8.77210999202406	9.72059142113011
YER085C	6.3876796121257	6.22656054912472
ILV1	12.6280581568681	12.3355801705012
SBH1	12.7623072857354	12.6768738582131
AIM10	10.0808574909064	10.1127522522935
DOT6	10.3937229362027	10.3769501709495
PTC2	11.4466077612514	11.5038505775726
TRP2	12.344087811893	12.0024071786665
MET6	13.6505244907989	14.2395537799496
YER091C-A	7.44242934049069	6.87054966863063
IES5	10.9047174030461	10.6598353859076
TSC11	9.69914903867622	9.48675459032922
AIM11	9.34651373316563	9.38799575242264
PUP3	11.5366600491356	11.5374999218997
RAD51	11.9855111036129	12.0722130122399
SHC1	8.63626208880638	8.66023483572629
YER097W	7.12673544270844	7.11629197129022
UBP9	8.88444529199583	8.76694956430461
PRS2	10.6273788457019	10.5343320668197
UBC6	11.7316584487518	11.3146512141708
AST2	10.0693423501174	9.74714903449519
SSA4	10.9075667004592	10.1367348379805
RTT105	8.49923600034045	8.25267962282349
NUP157	10.3979740493268	10.0964120908237
MAM1	6.42917739859185	6.17003119591877
GLE2	10.3086348205646	10.2725248154716
FLO8	9.09473750504809	9.15297179710639
KAP123	12.6330451636752	12.4819709306726
SWI4	10.0928364077005	10.1523989349424
LSM4	11.7069319551809	11.6920226109245
TMN3	10.4643823785883	10.4656072159731
BOI2	9.40305464318301	9.2927334438977
SPR6	11.6227244931028	11.3485566580481
SLX8	9.92481695636138	9.67002592808793
RPL23B	15.1239920322878	15.7500160352971
SHO1	11.1645110109113	11.1164869239327
AVT6	8.91295219086874	8.78027072364139
YER119C-A	6.29585524104102	6.1661871901425
SCS2	12.5960266515552	12.8697943107183
YER121W	8.37559554392619	7.96615933661808
